Course Name,Course Code
Apply bridge durability treatments ,RIICTB202E
Produce bridge drawings and sketches ,RIICTB203E
Undertake visual inspections ,RIICTB301E
Install temporary support members ,RIICTB302E
Erect temporary modular support systems (baileys) on existing bridges ,RIICTB303E
Install or replace sub-structure members ,RIICTB304E
Install or replace super-structure members ,RIICTB305E
Splice and connect timber members ,RIICTB306E
Assemble and disassemble temporary modular bridges ,RIICTB307E
Install or replace truss members ,RIICTB308E
"Construct, maintain and remove coffer dams ",RIICTB309E
Construct specialised timber deck systems ,RIICTB310E
Install tunnelling constructions services ,RIICTC301E
Line tunnels ,RIICTC302E
Excavate tunnel by machine ,RIICTC303E
Muck ou t tunnel earthworks ,RIICTC304E
Construct portals ,RIICTC305E
Conduct tunnel boring machine operations ,RIICTC306
Supervise tunnel construction ,RIICTC401E
Supervise tunnel boring machine operations ,RIICTC402
Conduct fluid assisted directional boring ,RIICTT301E
"Conduct impact moling, ramming and augering operations ",RIICTT302E
Control micro tunnelling and pipe-jacking operations ,RIICTT303E
Undertake on-line replacement for existing pipeline systems ,RIICTT304E
Undertake localised repair an d sealing of existing pipeline systems ,RIICTT305E
Install cure in-place linings for existing pipeline systems ,RIICTT306E
Spray linings for existing pipeline systems ,RIICTT307E
Install close-fit linings for existing pipeline systems ,RIICTT308E
Install slip lining in existing pipeline systems ,RIICTT309E
Renovate large diameter pipes and chambers ,RIICTT310E
Supervise the installation of unde rground services using trenchless technology ,RIICTT401E
Supervise repair and rehabilitation of underground services using trenchless technology ,RIICTT402E
Prepare detailed design of foundations ,RIICWD501E
Prepare detailed design of lighting ,RIICWD502E
Prepare traffic management  plans and traffic guidance schemes ,RIICWD503E
Prepare detailed design of environmental controls ,RIICWD504E
Prepare detailed design of landscaping ,RIICWD505E
Prepare detailed design of canals ,RIICWD506E
Prepare detailed geotechnical design ,RIICWD507D
Prepare detailed design of rural roads ,RIICWD508E
Prepare detailed design of urban roads ,RIICWD509E
Prepare detailed design of busways ,RIICWD510E
Prepare detailed design of sub-divisions ,RIICWD511E
Prepare detailed design of motorways and interchanges ,RIICWD512E
Prepare detailed design of rail civil infrastructure ,RIICWD513E
Prepare detailed design of dams ,RIICWD514E
Prepare detailed design of airfield civil works ,RIICWD515E
Prepare detailed design of bicycle ways ,RIICWD516E
Prepare detailed design of industrial hardstands ,RIICWD517E
Prepare detailed design of open car parks ,RIICWD518E
Prepare detailed design of intermodal facilities civil works ,RIICWD519E
Prepare detailed design of rigid pavements ,RIICWD520E
Prepare detailed design of flexible pavements ,RIICWD521E
Prepare stabilised material mix design ,RIICWD522E
Prepare asphalt mix design ,RIICWD523E
Prepare design of spray seal surfacing ,RIICWD524E
Select pavement surfacing ,RIICWD525E
Prepare detailed traffic analysis ,RIICWD526E
Prepare detailed design of traffic signals ,RIICWD527E
Prepare detailed design of traffic management systems ,RIICWD528E
Prepare detailed design of underground services ,RIICWD529E
Prepare detailed design of surface drainage ,RIICWD530E
Prepare detailed design of subsurface drainage ,RIICWD531E
Prepare detailed design of tunnels ,RIICWD532E
Prepare detailed design of civil concrete structures ,RIICWD533E
Prepare detailed design of civil steel structures ,RIICWD534E
Prepare detailed design of civil timber structures ,RIICWD535E
"Prepare detailed design of civil masonry, crib and gabion structures ",RIICWD536E
Prepare detailed design of marine structures civil works ,RIICWD537E
Prepare traffic management plans and tr affic guidance schemes for high volume roads ,RIICWD538
Prepare traffic management plans and tr affic guidance schemes for motorways and freeways ,RIICWD539
Manage civil works design processes ,RIICWD601E
Supervise civil works ,RIICWM401E
Supervise civil works contractors ,RIICWM402E
Implement civil construction plans ,RIICWM501E
Implement civil works maintenance programs ,RIICWM502E
Prepare civil works cost estimates ,RIICWM503E
Prepare civil works bill of quantities ,RIICWM504E
Prepare civil works schedule of rates ,RIICWM505E
Establish civil construction plans ,RIICWM601E
Establish civil works maintenance programs ,RIICWM602E
"Inspect, test and maintain diesel engine systems and their ancillary systems ",RIIDES301D
"Inspect, test and maintain joints on diesel engine systems ",RIIDES302D
"Inspect, test and maintain cooling systems on diesel engine systems ",RIIDES303D
"Inspect, test and maintain inlet systems on diesel engine systems ",RIIDES304D
"Inspect, test and maintain exhaust systems on diesel engine systems ",RIIDES305D
"Inspect, test and maintain safety shutdown systems on diesel engine systems ",RIIDES306D
"Test, determine the cause and rectify excessive emission levels on diesel engine systems ",RIIDES307D
Superv ise demolitions ,RIIDML401E
Operate in isolated and remote situations ,RIIEGS201D
Conduct field work ,RIIEGS202E
Operate and maintain instruments and field equipment ,RIIEGS301D
Operate and maintain instruments and field equipment ,RIIEGS301E
Plan and undertake field trip ,RIIEGS302D
Provide geological field assistance ,RIIEGS303E
Mobilise equipment and materials ,RIIEGS304E
Navigate in remote or trackless areas ,RIIEGS305E
Identify and assess environmental and heritage concerns ,RIIENV201D
Identify and assess environmental and heritage concerns ,RIIENV201E
Conduct atmospheric monitoring ,RIIENV301E
Apply environmentally sustainable work practices ,RIIENV302E
Supervise dust and noise control ,RIIENV401E
Implement and monitor environmental policies ,RIIENV402E
Implement and maintain environmental management plan ,RIIENV501D
Implement and maintain environmental management plans ,RIIENV501E
Undertake process or project environmental impact assessments ,RIIENV502E
Establish and maintain the environmental management system ,RIIENV601D
Establish and maintain the environmental management system ,RIIENV601E
Conduct fire team operations ,RIIERR201E
Contribute to the control of  emergencies and critical situations ,RIIERR202E
Escape from ha zardous situations unaided ,RIIERR203D
Escape from ha zardous situations unaided ,RIIERR203E
Provide aided rescue to endangered personnel ,RIIERR204E
Apply initial response First Aid ,RIIERR205D
Respond to work site incidents ,RIIERR301E
Respond to local emergencies and incidents ,RIIERR302E
Operate in self-contained regenerative oxygen breathing apparatus ,RIIERR303E
Control emergencie s and critical situations ,RIIERR304D
Control underground fires ,RIIERR305E
Conduct underground searches ,RIIERR306E
Extricate casualties  from underground incidents ,RIIERR307E
Extricate and transpor t people involved in incidents ,RIIERR308E
Establish and operate from fresh air base ,RIIERR309D
Provide support for rescue operations ,RIIERR310D
Apply and monitor emergency preparedness and response systems in surface operations ,RIIERR401E
Apply and monitor underground coal mine emergency preparedness and response systems ,RIIERR402D
Apply and monitor underground coal mine emergency preparedness and response systems ,RIIERR402E
Lead rescue teams ,RIIERR403E
Apply and monitor underground Metalliferous mine emergency preparedness and response ,RIIERR404D
Control emergencie s and critical situations ,RIIERR405
Provide support for rescue operations ,RIIERR406
Implement underground coal mine emergency preparedness and response systems ,RIIERR501E
Implement emergency preparedness and response systems ,RIIERR503D
Manage major incidents and emergencies ,RIIERR504E
Establish and maintain mine emergency preparedness and response systems ,RIIERR601E
Establish and maintain underground coal mine emergency preparedness and response systems ,RIIERR602E
Manage financial records ,RIIFIA401E
Comply with site work processes/procedures ,RIIGOV201D
Comply with site work processes/procedures ,RIIGOV201E
"Apply, monitor and report on compliance systems ",RIIGOV401D
"Apply, monitor and report on compliance systems ",RIIGOV401E
"Identify, implement and main tain legal complian ce requirements ",RIIGOV501D
"Identify, implement and main tain legal complian ce requirements ",RIIGOV501E
"Establish, mainta in and develop a statutory compliance management system ",RIIGOV601D
"Establish, mainta in and develop a statutory compliance management system ",RIIGOV601E
Operate a forklift ,RIIHAN201E
Conduct lifting operations ,RIIHAN203D
Conduct lifting operations ,RIIHAN203E
Load and unload cargo/goods ,RIIHAN204D
Secure cargo ,RIIHAN205D
"Transport plant, equipment and personnel ",RIIHAN206E
Perform dogging ,RIIHAN208D
Perform dogging ,RIIHAN208E
Perform basic rigging ,RIIHAN209E
Perform intermediate rigging operations ,RIIHAN210D
Conduct basic scaffolding operations ,RIIHAN211D
Conduct non-slewing crane operations ,RIIHAN212E
Work effectively in the drilling industry ,RIIHAN213E
Operate elevating work platform ,RIIHAN301E
Conduct intermedia te scaffolding operations ,RIIHAN302D
Conduct slewing crane operations ,RIIHAN304E
Operate a gantry or overhead crane ,RIIHAN305D
Operate a vehicle loading crane ,RIIHAN307E
Load and unload plant ,RIIHAN308F
Conduct telescopic materials handler operations ,RIIHAN309F
Conduct crane operations underground ,RIIHAN310E
Conduct operations with integrated tool carrier ,RIIHAN311F
Organise and monito r wharf/terminal operations ,RIIHAN401D
Maintain  site records ,RIIIMG301D
Maintain site records ,RIIIMG301E
Provide leadership in the supervision of Indigenous employees ,RIILAT401D
Provide leadership in the supervision of Indigenous employees ,RIILAT401E
Provide leadership in th e supervision of diverse work teams ,RIILAT402D
Provide leadership in th e supervision of diverse work teams ,RIILAT402E
Manage group processes ,RIILAT601E
Conduct spreader operations ,RIIMCO201D
Conduct surface miner operations ,RIIMCO302D
Conduct rail dispatch operations ,RIIMCP202D
Monitor plant oper ations for coal preparation ,RIIMCP301D
Operate power tram ,RIIMCU201D
Conduct tracked vehicle/plant operations ,RIIMCU202D
Conduct wheeled vehicle operations (non-articulated) ,RIIMCU203D
Conduct wheeled vehicle operations (articulated) ,RIIMCU204D
Conduct rotational drilling ,RIIMCU205D
"Install, maintain and recover gas drainage systems ",RIIMCU206D
"Install, maintain an d recover electrical services ",RIIMCU207D
Conduct basic strata control operations ,RIIMCU208E
Conduct roadway maintenance ,RIIMCU209E
Conduct stonedusting operations ,RIIMCU210D
Install and ma intain explosion barriers ,RIIMCU211D
Construct and maintain basic ventilation devices ,RIIMCU212E
Conduct feeder breaker operations ,RIIMCU213E
Conduct ventilation operations ,RIIMCU214E
Operate longwall ancillary equipment ,RIIMCU215D
Maintain lamp cabin operations ,RIIMCU216D
Apply spontaneous comb ustion management measures ,RIIMCU217
Work safely with polymeric chemicals in underground coal mining ,RIIMCU218
Conduct specialised strata control operations ,RIIMCU301E
Construct and ma intain ventilation devices ,RIIMCU302F
Conduct continuous miner operations ,RIIMCU303E
Conduct shuttle car operations ,RIIMCU304E
Conduct outburst mining operations ,RIIMCU305E
Conduct shearer operations ,RIIMCU306E
Conduct longwall face equipment operations ,RIIMCU307E
Install and recover longwall equipment ,RIIMCU308E
Operate breaker line supports ,RIIMCU309E
Conduct flexible conveyor train (FCT) operations ,RIIMCU310E
Monitor control processes ,RIIMCU311E
Conduct polymeric chemical operations in underground coal mining ,RIIMCU312
Mix and pump polymeric chemicals in underground coal mining ,RIIMCU313
Transport and store polymeric chemicals in underground coal mining ,RIIMCU314
Conduct special roadway operations ,RIIMCU401E
Apply and monitor the gas management plan ,RIIMCU403E
Apply and monitor the gas drainage management plan ,RIIMCU404E
Apply and monitor the outburst management plan ,RIIMCU405D
Apply and monitor the inrush management plan ,RIIMCU406E
Apply and monitor the strata management plan ,RIIMCU407E
Apply the spontaneous combustion management plan ,RIIMCU408E
Apply and monitor polymeric chemical management plans ,RIIMCU409
Implement the spontane ous combustion management plan ,RIIMCU501E
Implement the gas management plan ,RIIMCU502E
Implement the gas drainage management plan ,RIIMCU503D
Implement the outburst management plan ,RIIMCU504D
Implement the inrush management plan ,RIIMCU505E
Implement the strata management plan ,RIIMCU506E
Establish and maintain spontaneous combustion management systems ,RIIMCU601E
Establis h and maintain gas management systems ,RIIMCU602E
Establish an d maintain the gas drainage management plan ,RIIMCU603D
Establish an d maintain the outburst management plan ,RIIMCU604D
Establish and mainta in inrush management systems ,RIIMCU605E
Establish and main tain the mining method and strata management systems ,RIIMCU606E
Suppress dust in open-cut environments ,RIIMEX201E
Break oversize rock ,RIIMEX203D
Conduct work boat/barge operations ,RIIMEX204D
Conduct dredging operations ,RIIMEX301D
Assess ground conditions ,RIIMEX302D
Conduct local geotechnical risk control in surface operations ,RIIMEX303
Apply pit plan ,RIIMEX401D
Supervise dredging operations ,RIIMEX402E
Supervise canal construction ,RIIMEX403E
Apply and monitor systems for stable mining ,RIIMEX404E
Apply and monitor systems and methods of surface coal mining ,RIIMEX405E
Apply and monitor mine transport systems and production equipment ,RIIMEX406D
Apply and monitor the ground control management plan ,RIIMEX407
Supervise overburden dump operations ,RIIMEX408
Implement pit plan ,RIIMEX501D
Implement systems and methods of mining ,RIIMEX502D
Manage dredging operations ,RIIMEX503E
Implement the ground control management plan ,RIIMEX504
Plan pit development ,RIIMEX601D
Establish and mainta in surface mining ground control and slope stability systems ,RIIMEX602D
Establish and maintain  underground mining ground control and stable mining systems ,RIIMEX603D
Establish and ma intain surface product haulage and transport systems ,RIIMEX604D
Control and monito r automated plant/machinery ,RIIMPG301D
Operate roller/compactor underground ,RIIMPO201E
Operate roller/compactor ,RIIMPO205E
Conduct bulk water truck operations ,RIIMPO206D
Operate support equipment ,RIIMPO208F
Conduct underground truck operations ,RIIMPO210E
Conduct hydraulic excavator operations ,RIIMPO301E
Conduct hydraulic shovel operations ,RIIMPO302E
Conduct rope shovel operations ,RIIMPO303E
Conduct wheel loader operations ,RIIMPO304E
Conduct coal stockpile dozer operations ,RIIMPO305F
Operate plant/machinery on live stockpiles ,RIIMPO306D
Conduct wheel grader operations in underground mines ,RIIMPO307E
Conduct trac ked dozer operations ,RIIMPO308F
Conduct wheeled dozer operations ,RIIMPO309F
Conduct grader operations ,RIIMPO310F
Conduct scraper operations ,RIIMPO312E
Conduct face loader operations ,RIIMPO313E
Conduct tractor operations ,RIIMPO315E
Conduct self-propelled compactor operations ,RIIMPO316E
Conduct roller operations ,RIIMPO317F
Conduct civil construction skid steer loader operations ,RIIMPO318F
Conduct backhoe/loader operations ,RIIMPO319E
Conduct civil construction excavator operations ,RIIMPO320F
Conduct civil construction wheeled front end loader operations ,RIIMPO321F
Conduct civil construction tracked front end loader operations ,RIIMPO322E
Conduct civil construction dozer operations ,RIIMPO323E
Conduct civil construction grader operations ,RIIMPO324F
Conduct civil construction scraper operations ,RIIMPO325E
Conduct water vehicle operations ,RIIMPO326E
Conduct pi pe layer operations ,RIIMPO327E
Conduct continuous bucket trencher operations ,RIIMPO328E
Conduct dragline operations ,RIIMPO329F
Conduct operations with stockpile dozer ,RIIMPO331E
"Conduct underground load, haul and dump truck operations ",RIIMPO333E
Conduct skid steer loader operations using attachments ,RIIMPO334E
Conduct skid steer load er operations without attachments ,RIIMPO335E
Conduct belly dump truck operations ,RIIMPO336E
Conduct articula ted haul truck operations ,RIIMPO337E
Conduct rigid haul truck operations ,RIIMPO338E
Cond uct side tipper operations ,RIIMPO339A
Supervise mobile plant operations ,RIIMPO401D
Apply the principles of earthworks construction ,RIIMPO402D
Monitor interaction of heavy and light vehicles and mining equipment ,RIIMPO403D
"Implement, monitor, rectify and report on mobile plant and equipment systems ",RIIMPO501D
Manage the interaction of heav y and light vehicles and mining equipment ,RIIMPO502D
Install and maintain ventilation systems and equipment ,RIIMSM307D
"Load, secure and unload  drilling equipment and materials ",RIINHB201E
Set up and pack up drill sites ,RIINHB202E
Support drilling processes ,RIINHB203E
Assist continuous flight auger drilling ,RIINHB205F
Assist large diameter auger drilling ,RIINHB206E
Assist diamond core drilling ,RIINHB208E
Assist surface directional drilling ,RIINHB210E
Assist mud rotary drilling ,RIINHB211E
Assist horizontal direction drilling ,RIINHB217E
Assist grouting and cementing operations ,RIINHB218E
Assist with reverse circulation drilling ,RIINHB219E
Assist coil tube drilling ,RIINHB220
Assist rotary air drilling ,RIINHB221
Assist sonic drilling operations ,RIINHB222
"Prepare, run and cement casing ",RIINHB223
Set up and prepare for drilling operations ,RIINHB301E
Conduct reaming ,RIINHB302D
Install product pipe ,RIINHB303D
Conduct reverse circulation drilling operations ,RIINHB304E
Conduct continuous flight auger drilling ,RIINHB305E
Conduct large diameter auger drilling ,RIINHB306E
Conduct conventional core drilling ,RIINHB307D
Conduct wireline core drilling ,RIINHB308D
Conduct guided boring ,RIINHB309E
Conduct surface directional drilling ,RIINHB310D
Conduct mud rotary drilling operations ,RIINHB311E
Conduct raise boring ,RIINHB312D
Conduct top-hole hammer drilling ,RIINHB315D
Conduct underground in-seam directional drilling ,RIINHB316D
Install underground in-seam directional drilling standpipes ,RIINHB317D
Install and operate water and gas control equipment ,RIINHB318D
Construct monitoring bores ,RIINHB320D
Construct multiple  aquifer production bores ,RIINHB322E
Conduct horizontal directional drilling ,RIINHB323D
Conduct grouting or cementing operations ,RIINHB324E
Construct single aquifer bores ,RIINHB325E
Conduct coil tube drilling ,RIINHB326
Conduct cyber chair drilling operations ,RIINHB327
Conduct rotary air drilling ,RIINHB328
Conduct sonic drilling operations ,RIINHB329
Conduct down-hole hammer drilling ,RIINHB330
"Plan and supervise the mobilisation of equipment, crew and materials ",RIINHB401E
Supervise drilling operations ,RIINHB402E
Supervise geotechn ical drilling operations ,RIINHB403D
Construct artesi an (flowing) aquifer bores ,RIINHB411E
Construct geothermal wells ,RIINHB412D
Plan drilling ,RIINHB501F
Assist in maintaining ri g safety and emergency procedures ,RIIOGD201D
Carry out equipment and basic rig maintenance ,RIIOGD202D
Carry out equipment and basic rig maintenance procedures ,RIIOGD202E
Prepare and operate drilling fluid systems ,RIIOGD203F
Perform rig floor operations ,RIIOGD204F
Support blow ou t prevention operations ,RIIOGD205E
Assist and monitor well control operations ,RIIOGD206E
Operate and maintain ancillary equipment ,RIIOGD209F
Conduct and maintain derrick operations ,RIIOGD301E
Assist in running casing ,RIIOGD302F
Trip pipe ,RIIOGD303F
Apply effective coal seam gas control practices ,RIIOGD304D
Apply blow out prevention operational procedures ,RIIOGD305E
"Rig up, conduct pre-spud operations and rig down ",RIIOGD401E
Participate in ni ppling-up and pressure tests ,RIIOGD402E
Conduct drilling operations ,RIIOGD403E
Coordinate air drilling operations ,RIIOGD404E
Carry out well control an d blow out prevention operations ,RIIOGD405E
Manage rig operations ,RIIOGD501F
Plan and evaluate rig operations ,RIIOGD502E
Oversee drilling operations ,RIIOGD503E
Manage drilling operations ,RIIOGD504D
Manage drilling operations ,RIIOGD504E
Manage drilling and well servicing induction and orientation ,RIIOGD505E
Manage rig move and camp move ,RIIOGD506D
Manage and monitor rig-up and rig-up to spud operations ,RIIOGD507D
Manage well co mpletion and abandonment ,RIIOGD508D
Manage multiple drilling operations ,RIIOGD601D
Operate drilling fluids and mud pits ,RIIOGF302E
Carry out rig lease operations ,RIIOGN201F
Operate mud pumps ,RIIOGN302F
Operate mud systems ,RIIOGN303D
"Operate, monitor and maintain mud systems ",RIIOGN303E
Conduct aeration process ,RIIPBE201D
Conduct digestion process ,RIIPBE202D
Conduct precipitation operations ,RIIPBE203D
Conduct reduction process ,RIIPBE204D
Conduct calcinations activities ,RIIPBE301D
Conduct bacterial oxidation ,RIIPBE302D
Conduct filtering process ,RIIPBE303D
Conduct heavy media separation ,RIIPBE304D
Conduct high  tension separation ,RIIPBE305D
Conduct leaching process ,RIIPBE306D
Conduct thickening and clarifying process ,RIIPBE308D
Conduct wet gravity separation ,RIIPBE309D
Conduct flotation process ,RIIPBE310D
Conduct magnetic separation ,RIIPBE311D
Conduct conveyor operations ,RIIPEO201E
Provide deck support for conveyor-car high wall mining operations ,RIIPEO202E
Conduct stacker operations ,RIIPEO203D
Conduct shore side mooring operations ,RIIPEO204D
Conduct ship loading operations ,RIIPEO205D
Lay and recover cables and hoses ,RIIPEO206D
Conduct conveyor-car high wall mining operations ,RIIPEO301E
